"iec","company_name","file_number","file_date","application_type","office_id","old_name","address_line_1","address_line_2","city","district","state","pincode","gstin","membership_category","star_rating","annual_turnover","export_turnover","rcmc_valid_upto"
"0713020571","SHUBHAM METALS","RCMCRENEWFIEO00083661AM24","2024-03-17","Renewal of e-RCMC","14",NULL,"ROYAN CIRCLE, SHOP NO 48 3, 2ND CROSS 1ST MAIN ROAD","CHAMARAJPET, BENGALURU, BENGALURU URBAN, KARNATAKA, 560018","BENGALURU","BENGALURU URBAN","KARNATAKA","560018","29AMTPD1879P1Z0","Premium Multi Product Group Category","-","130000000","0","2025-03-31"
"0713020768","GLAMY CANDY PRIVATE LIMITED","RCMCRENEWFIEO00090218AM25","2025-03-17","Renewal of e-RCMC","14",NULL,"SY NO. 54/2P1,BAGLUR MAIN ROAD,","BAGLUR POST, SATHNUR VILLAGE BAGLUR, BANGALORE ? 562149","BANGALORE","BENGALURU URBAN","KARNATAKA","562149","29AAFCG2617P1Z5","Premium Multi Product Group Category","-","90821497","76105730","2026-03-31"
"0713020822","KWALITY ANIMAL FEEDS PRIVATE LIMITED","RCMCAMENDFIEO00064273AM26","2025-10-08","Amendment of e-RCMC","14",NULL,"KWALITY HOUSE, PLOT NO.12, MACHHE","INDUSTRIAL AREA, MACHHE, CONTACT NO: 08312411021","BELGAUM","BELAGAVI","KARNATAKA","590014","29AABCK0589J1Z6","Premium Multi Product Group Category","-","6275101238","0","2026-03-31"
"0713021195","WORLD WATER WORKS INDIA PRIVATE LIMITED","RCMCRENEWFIEO00020060AM25","2024-04-24","Renewal of e-RCMC","4",NULL,"1002 DLH PARK 10TH FLOOR","S V ROAD, GOREGAON WEST","MUMBAI","MUMBAI SUBURBAN","MAHARASHTRA","400062","27AABCW1860C1ZL","One Star Export House Category","One Star Export House","290000000","0","2029-03-31"
"0713023171","CABELAS INDIA EXPORTS PRIVATE LIMITED","RCMCRENEWFIEO00002735AM26","2025-04-01","Renewal of e-RCMC","14",NULL,"EXPORT ORIENTED UNIT, PLOT NO.134-A","JIGANI, INDUSTRIAL AREA,BOMMASANDRA JIGANI LINK ROAD,","BANGALORE","BENGALURU RURAL","KARNATAKA","560099","29AAFCC4298N1ZW","One Star Export House Category","One Star Export House","71200000","0","2026-03-31"
"0713023945","CARMEL GROUP INTERNATIONAL","RCMCRENEWFIEO00079923AM24","2024-03-10","Renewal of e-RCMC","14",NULL,"NO. 308, 3RD FLOOR, GR QUEENS AMBER BUILDING 1ST & 2ND CROSS,","OMKAR NAGAR, ARAKERE MICO LAYOUT MAIN ROAD, BANNERGHATTA ROAD,","BENGALURU","BENGALURU URBAN","KARNATAKA","560076","29AHOPD4766B1Z9","One Star Export House Category","One Star Export House","109504332","0","2026-03-31"
"0713025093","NILIMA SILK","RCMCAPPLYFIEO00073036AM24","2024-02-09","Issuance of e-RCMC","14",NULL,"G-2, SUCASA NILAYA, 2ND CROSS,","SEETHAPPA LAYOUT, CHOLANAGAR,","R.T.NAGAR POST , BANGALORE","BENGALURU URBAN","KARNATAKA","560032","29AMRPK8146J1Z9","Multi Product Group Category","-","38500000","0","2025-03-31"
"0713025174","SME NETWORK","RCMCRENEWFIEO00076412AM25","2025-01-14","Renewal of e-RCMC","14",NULL,"2ND FLOOR, NO 83 (OLD NO 24), 4TH MAIN","BETWEEN 8TH AND 9TH CROSS, MALLESWARAM","BENGALURU","BENGALURU URBAN","KARNATAKA","560003","29AFZPB3031N2ZY","Multi Product Group Category","-","0","0","2026-03-31"
"0713025352","QTLOMICS TECHNOLOGIES PRIVATE LIMITED","RCMCRENEWFIEO00087442AM25","2025-03-10","Renewal of e-RCMC","14",NULL,"NO.4 ARASU COMPLEX FIRST FLOOR","80 FEET ROAD,DOLLORS COLONY ASHWATH NAGAR RMV 2ND STAGE CONTACT NO: 9880304747","2ND STAGE,BANGALORE","BENGALURU URBAN","KARNATAKA","560094","29AAACQ3301K1ZJ","Multi Product Group Category","-","0","0","2026-03-31"
"0713026596","CARDIAC DESIGN LABS PRIVATE LIMITED","RCMCRENEWFIEO00036005AM26","2025-06-01","Renewal of e-RCMC","14",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Multi Product Group Category","-","40000000","0","2026-03-31"
"0713027452","SHRI BALAJI GRANITES","RCMCRENEWFIEO00014120AM26","2025-04-14","Renewal of e-RCMC","14",NULL,"NO.235, 2ND FLOOR, VIDYAGIRI","LAYOUT, NAGARBHAVI MAIN RING ROAD, CONTACT NO: 919611283945","NAGARBHAVI","BENGALURU URBAN","KARNATAKA","560072","29BAEPP4848J1Z4","Premium Multi Product Group Category","-","73096821.26","27730343.84","2026-03-31"
"0713029064","SRI RAJSHREE INDUSTRIES","RCMCRENEWFIEO00014026AM25","2024-04-15","Renewal of e-RCMC","14",NULL,"PLOT NO.2,P-II","THANDYA INDUSTRIAL AREA","NANJANGUD,KARNATAKA","MYSURU","KARNATAKA","571302","29ABEPJ6858L1ZZ","Premium Multi Product Group Category","-","50241140","0","2026-03-31"
"0713030941","JAPAN BUSINESS CENTER","RCMCRENEWFIEO00039152AM26","2025-06-11","Renewal of e-RCMC","14",NULL,"NO 61 INDIRA ENCLAVE","5 TH CROSS RHCS  LAYOUT   ANNAPOORRNESWARI NAGAR   NAGARABHAVI","BANGALORE","BENGALURU RURAL","KARNATAKA","560091","29AHJPN8572G4ZN","Multi Product Group Category","-","1000000","0","2026-03-31"
"0713030950","BRAVIA EXIM PRIVATE LIMITED","RCMCRENEWFIEO00053621AM24","2023-09-26","Renewal of e-RCMC","14",NULL,"NO.117, MARGOSA ROAD,","MALLESHWARAM, CONTACT NO: 919448416421","BANGALORE","BENGALURU URBAN","KARNATAKA","560003","29AAFCB7786E1Z9","Multi Product Group Category","-","0","0","2026-03-31"
"0713033746","SRI BALAJI POLY PACK,","RCMCAPPLYFIEO00033898AM24","2023-06-16","Issuance of e-RCMC","14",NULL,"NO.94/3, SSR LAYOUT, KANNAHALLI","VILLAGE, KODIGEHALLI POST, YESHWANT CONTACT NO: 08023281333/23484058","HPURA HOBLI, BANGALORE","BENGALURU RURAL","KARNATAKA","560091","29AAYPL6699L1Z8","Multi Product Group Category","-","0","0","2024-03-31"
"0713035331","REFLECTIONS INTERIOR PRODUCTS PRIVATE LIMITED","RCMCRENEWFIEO00019102AM24","2023-05-09","Renewal of e-RCMC","14",NULL,"B-56,5THCROSS,ITI INDUSTRIALESTATE,","WHITEFIELD MAINROAD,MAHADEVAPURA POST CONTACT NO: 919535411772","BANGALORE","BENGALURU URBAN","KARNATAKA","560048","29AAGCR0289R1ZH","Premium Multi Product Group Category","-","181448000","1634805","2026-03-31"
"0713035358","SHAKUNTALA SAMPLING","RCMCRENEWFIEO00085401AM25","2025-03-04","Renewal of e-RCMC","14",NULL,"NO-799, 15TH CROSS, K.R.ROAD,","7TH BLOCK WEST, JAYANAGAR,","BANGALORE","BENGALURU URBAN","KARNATAKA","560070","29ACEFS4670C1Z2","Multi Product Group Category","-","20000000","0","2026-03-31"
"0713035366","MANGALORE MARINE PRODUCTS","RCMCRENEWFIEO00039328AM24","2023-07-07","Renewal of e-RCMC","14",NULL,"D.NO.2-9-3-8 1ST FLOOR H S TOWERS","KALLAPPU PERMANNUR THOKKOTTU","MANGALORE","DAKSHINA KANNADA","KARNATAKA","575017","29AANFM1145M1ZU","Premium Multi Product Group Category","-","857200000","0","2024-03-31"
"0713036737","SUNLARGE INDUSTRIES PRIVATE LIMITED","RCMCRENEWFIEO00096256AM25","2025-03-24","Renewal of e-RCMC","14",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Multi Product Group Category","-","50000000","0","2026-03-31"
"0714000434","ALLFERMEN NUTRITIONAL TECHNOLOGIES,","RCMCRENEWFIEO00058498AM26","2025-09-01","Renewal of e-RCMC","18",NULL,"PLOT 16 A, UDL-II, APIIC INDUSTRIAL ESTATE, GANDRAJUPALLI VILLAGE",NULL,"GANGAVARAM MANDAL","CHITTOOR","ANDHRA PRADESH","517432","37APLPP1986J1Z5","Multi Product Group Category","-","44500000","2000000","2026-03-31"
"0714000540","MOULYA DINNER WARE","RCMCRENEWFIEO00103066AM25","2025-03-28","Renewal of e-RCMC","14",NULL,"C-3, 3RD CROSS, KSSIDC INDUSTRIEL ESTATE","SAGAR ROAD, SHIVAMOGGA","SHIVAMOGGA","SHIVAMOGGA","KARNATAKA","577204","29BOQPM9751M2ZR","Premium Multi Product Group Category","-","52500000","49000000","2026-03-31"
"0714000566","CHEKKENY COMPOSITES PRIVATE LIMITED","RCMCRENEWFIEO00080004AM24","2024-03-10","Renewal of e-RCMC","14",NULL,"SY.NO.125/1B NEAR KSRTC DEPOT","MYSORE ROAD KENGERI","BANGALORE","BENGALURU URBAN","KARNATAKA","560060","29AAFCC5321A1Z5","Premium Multi Product Group Category","-","5000000000","0","2026-03-31"
"0714000582","TRAKMATE DESIGN SOLUTIONS PRIVATE LIMITED","RCMCAPPLYFIEO00101807AM25","2025-03-27","Issuance of e-RCMC","14",NULL,"NO.1 A, TRAKMATE DESIGN SOLUTIONS PRIVATE LIMITED,","3RD CROSS,RAGAVENDRA EXTENSION,OPP TO ,MEI, OFF TUMKUR ROAD, YESHWANTHAPURA, BNG","BANGALORE","BENGALURU URBAN","KARNATAKA","560022","29AAECT8611K1ZX","Multi Product Group Category","-","1813027.2","1813027.2","2026-03-31"
"0714000710","KONIKKARA INDUSTRIES","RCMCRENEWFIEO00045648AM24","2023-08-08","Renewal of e-RCMC","14",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Multi Product Group Category","-","17500000","0","2024-03-31"
"0714000744","ISHTA INDUSTRIES PRIVATE LIMITED","RCMCRENEWFIEO00034276AM26","2025-05-27","Renewal of e-RCMC","14",NULL,"ISHTA HOUSE,284/8, GARVEBHAVI PALYA","NH-7, 12TH KM HOSUR ROAD CONTACT NO: 91 80 40911634","BANGALORE","BENGALURU URBAN","KARNATAKA","560068","29AADCI0383E1ZP","Premium Multi Product Group Category","-","67700000","0","2026-03-31"
"0714002186","INDUS VEGPRO PRIVATE LIMITED","RCMCRENEWFIEO00059628AM24","2023-11-05","Renewal of e-RCMC","14",NULL,"381, ANNAPURA VILLAGE,","MAYAKONDA HOBLI,","DAVANAGERE TALUK","DAVANGERE","KARNATAKA","577534","29AADCI4330B1Z0","Two Star Export house Category","Two Star Export house","1027241000","932492669","2027-03-31"
"0714004286","PATTUS CLEANSING","RCMCAPPLYFIEO00057144AM24","2023-10-18","Issuance of e-RCMC","14",NULL,"NO 990, 4TH BLOCK, 2ND MAIN ROAD","RAJAJINAGAR CONTACT NO: 91-9886100030","BANGALORE, KARNATAKA","BENGALURU URBAN","KARNATAKA","560023","29CIRPP1812L1ZN","Multi Product Group Category","-","50000000","28500000","2024-03-31"
"0714004651","DATACORP TRAFFIC PRIVATE LIMITED","RCMCRENEWFIEO00085058AM25","2025-03-03","Renewal of e-RCMC","14",NULL,"2, RAILWAY STATION ROAD","HARSHA LAYOUT, KENGERI","BANGALORE","BENGALURU URBAN","KARNATAKA","560060","29AAECD9048C1ZL","Premium Multi Product Group Category","-","600000000","0","2026-03-31"
"0714004707","TIMO EVA WELLNESS PRIVATE LIMITED","RCMCAPPLYFIEO00077044AM25","2025-01-17","Issuance of e-RCMC","14",NULL,"NO 11","SNEHA NAGAR, AMRUTHAHALLI YALAHANKA","BANGALORE","BENGALURU URBAN","KARNATAKA","560092","29AAECT4004C1ZR","Multi Product Group Category","-","102","0","2029-03-31"
"0714006882","VASUKI SRI EXPORTS","RCMCRENEWFIEO00042002AM23","2023-02-13","Renewal of e-RCMC","14",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Multi Product Group Category","-","40000000","0","2024-03-31"
"0714008150","ELHAM TECH SOLUTIONS AND SERVICES LLP","RCMCAPPLYFIEO00066432AM26","2025-10-27","Issuance of e-RCMC","14",NULL,"NO.83 GF INDUSTRIAL LAYOUT","5TH BLOCK KORAMANGALA B/H JYOTI NIVAS COLLEGE","BANGALORE","BENGALURU URBAN","KARNATAKA","560095","29AAEFE5997Q1ZB","Multi Product Group Category","-","100000","0","2026-03-31"
"0714008273","LOHAN INTERNATIONAL INC","RCMCRENEWFIEO00039269AM24","2023-07-07","Renewal of e-RCMC","14",NULL,"NO.15, CHURCH STREET ROAD,","BASAVANAGUDI, CONTACT NO: 9845435677","BANGALORE","BENGALURU URBAN","KARNATAKA","560004","29AMWPM3550H1ZH","Multi Product Group Category","-","6000000","0","2024-03-31"
"0714008494","PELATRO LIMITED","RCMCRENEWFIEO00078393AM25","2025-01-26","Renewal of e-RCMC","14",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Premium Multi Product Group Category","-","588081606","0","2026-03-31"
"0714008796","SRI SAI KRISHNA EXPORTS","RCMCRENEWFIEO00014046AM26","2025-04-14","Renewal of e-RCMC","14",NULL,"NO.1151, CHATRAPATHI, II FLOOR,","1ST MAIN ROAD, VIJAYANAGAR,","BANGALORE","BENGALURU URBAN","KARNATAKA","560040","29ADDPH0289A1ZW","Multi Product Group Category","-","30000000","0","2026-03-31"
"0714009199","MD-5 AMAR GRANITES PRIVATE LIMITED","RCMCAPPLYFIEO00032266AM26","2025-05-21","Issuance of e-RCMC","14",NULL,"NO.59,EMBASSY HABITAT","FLAT NO.1623, 2ND FLOOR,16TH BLOCK,PALACE ROAD","BANGALORE","BENGALURU URBAN","KARNATAKA","560001","29AAJCM0777E1Z9","One Star Export House Category","One Star Export House","84146499","64860946","2026-03-31"
"0714010201","FORBWOODS","RCMCRENEWFIEO00102695AM25","2025-03-28","Renewal of e-RCMC","14",NULL,"GROUND SHOP.34/1, FORBWOODS, 80 FEET ROAD, NEAR ST.ANNS HIGH SCHOOL","6TH BLOCK, RAJAJINAGAR,","BANGALORE","BENGALURU URBAN","KARNATAKA","560010","29AACPZ3449G1Z9","Multi Product Group Category","-","48890574","0","2026-03-31"
"0714011673","YELLOW BOY RETAIL SERVICES PRIVATE LIMITED","RCMCRENEWFIEO00015717AM24","2023-04-30","Renewal of e-RCMC","14",NULL,"F2, NO.67, PRANAV, 25TH CROSS,","JAYANAGAR 6TH BLOCK, CONTACT NO: 9902932208","BENGALURU","BENGALURU URBAN","KARNATAKA","560070","29AAACY6324N1ZS","Multi Product Group Category","-","9000000","0","2024-03-31"
"0714011754","RAMKISHAN COLD STORAGE","RCMCRENEWFIEO00050455AM24","2023-09-06","Renewal of e-RCMC","14",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Premium Multi Product Group Category","-","118344876.76","0","2024-03-31"
"0714012131","SHUBH STONES","RCMCRENEWFIEO00000625AM25","2024-03-31","Renewal of e-RCMC","14",NULL,"SY NO.102/2","HARAGADDE JIGANI HOBLI CONTACT NO: 9742999999","ANEKAL TALUK BANGALORE","BENGALURU RURAL","KARNATAKA","560105","29ACOFS9948K1ZW","Premium Multi Product Group Category","-","65000000","0","2025-03-31"
"0714015857","ARORA LOGISTIX PRIVATE LIMITED","RCMCRENEWFIEO00048615AM23","2023-03-16","Renewal of e-RCMC","14",NULL,"NO.249. FERNS CITY, OFF OUTER RING ROAD","DODDANAKUNDI","BANGALORE","BENGALURU URBAN","KARNATAKA","560037","29AAGCA4342L1ZG","Premium Multi Product Group Category","-","58115236","0","2028-03-31"
"0714015881","DOPAG INDIA PRIVATE LIMITED","RCMCRENEWFIEO00101091AM25","2025-03-27","Renewal of e-RCMC","14",NULL,"191/1","3RD PHASE, BOMMASANDRA INDUSTRIAL AREA","BANGALORE","BENGALURU RURAL","KARNATAKA","560099","29AAECD9678G1Z1","Multi Product Group Category","-","40008489","0","2026-03-31"
"0714017027","TJ MARINE PRODUCTS PRIVATE LIMITED","RCMCRENEWFIEO00014225AM24","2023-04-26","Renewal of e-RCMC","4",NULL,"DOOR NO. 1-4-9 B MANOOR FISHERIES ROAD,","KOTATHATTU VILLAGE, KOTA POST ,","UDUPI","UDUPI","KARNATAKA","576221","27AAECT9240J1Z0","Premium Multi Product Group Category","-","5980000000","1728765610","2026-03-31"
"0714017108","SRIDURGA SALES CORPORATION","RCMCRENEWFIEO00042451AM23","2023-02-16","Renewal of e-RCMC","14",NULL,"NO 3, 16TH CROSS, OLD 19TH CROSS, DODDANNA INDUSTRIAL ESTATE,","PEENYA 2ND STAGE, BENGALURU (BANGALORE) URBAN","BANGALORE","BENGALURU RURAL","KARNATAKA","560091","29ABKFS0106L1Z0","Premium Multi Product Group Category","-","500000000","0","2028-03-31"
"0714017825","BABA JETBLACK PRIVATE LIMITED","RCMCRENEWFIEO00011176AM25","2024-04-11","Renewal of e-RCMC","14",NULL,"SY.NO.212/2, KOPPA VILLAGE,","JIGNI HOBLI, ANEKAL TQ., CONTACT NO: 09845690001","BANGALORE","BENGALURU RURAL","KARNATAKA","560105","29AABCI5742B1ZS","Multi Product Group Category","-","0","0","2025-03-31"
"0714018406","FORTUNE CHEMIE","RCMCRENEWFIEO00033805AM26","2025-05-26","Renewal of e-RCMC","14",NULL,"NO.45/45/36/1/139/1,1ST MAIN,SARVABHOUMANAGAR,SHANBOUGH NAGAPPA LAYOUT,","BILEKAHALLI, BANNERGHATTA ROAD, CONTACT NO: 9845401188","BANGALORE","BENGALURU URBAN","KARNATAKA","560076","29AADFF0277B1ZR","Premium Multi Product Group Category","-","160000000","0","2026-03-31"
"0714018597","VIBRANT CLOTHING,","RCMCAPPLYFIEO00057848AM26","2025-08-28","Issuance of e-RCMC","14",NULL,"4/4 OPP TO GOVT HOSPITAL NEAR KARNATAKA BANK","B G ROAD DINNE ROAD, GOTTIGERE","BANGALORE","BENGALURU RURAL","KARNATAKA","560083","29AACPG6948F1ZK","Multi Product Group Category","-","3500000","0","2026-03-31"
"0714019038","IMPEX GRANITES PRIVATE LIMITED","RCMCRENEWFIEO00096519AM25","2025-03-24","Renewal of e-RCMC","14",NULL,"PLOT NO.11, PART 1 & 3, THANDYA","INDUSTRIAL  AREA, NANJANGUD","NANJANGUD TALUK, MYSORE DISTRICT","MYSURU","KARNATAKA","571302","29AABCI5998P1ZH","Premium Multi Product Group Category","-","130000000","0","2026-03-31"
"0714019429","SRI ANAGHA REFINERIES PRIVATE LIMITED","RCMCAPPLYFIEO00015057AM23","2022-06-09","Issuance of e-RCMC","14",NULL,"SY. NO. 10/1P-11/8A-12/4P, INDUSTRIAL AREA","BAIKAMPADY, MANGALORE","KARNATAKA","DAKSHINA KANNADA","KARNATAKA","575011","29AASCS9611C1ZZ","Multi Product Group Category","-","0","0","2023-03-31"
"0714019704","VALCOM IT SERVICES PRIVATE LIMITED","RCMCRENEWFIEO00064016AM26","2025-10-06","Renewal of e-RCMC","14",NULL,"BHORUKA TECH PARK (ADMIN BLOCK) SY.NOS. 26,27/1, 27/2 AND 31","WHITEFIELD ROAD MAHADEVAPURA POST","BANGALORE","BENGALURU URBAN","KARNATAKA","560048","29AADCV9361R1Z9","One Star Export House Category","One Star Export House","776300000","33600000","2026-03-31"
"0714020192","BIONEEDS INDIA PRIVATE LIMITED","RCMCRENEWFIEO00095666AM25","2025-03-24","Renewal of e-RCMC","14",NULL,"GROUND FLOOR, P3 AND P3A, PEENYA INDUSTRIAL AREA","1ST MAIN ROAD, PEENYA INDUSTRY METRO STATION, PEENYA INDUSTRIAL AREA,","BENGALURU","BENGALURU URBAN","KARNATAKA","560058","29AADCB3809N1ZC","Premium Multi Product Group Category","-","967620065","797582748","2026-03-31"
"0714022187","ARKGEN PHARMA PRIVATE LIMITED","RCMCRENEWFIEO00019634AM26","2025-04-23","Renewal of e-RCMC","14",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"One Star Export House Category","One Star Export House","164582328","0","2026-03-31"
"0714022365","PRESTIGE HOME TEXTILE CO","RCMCRENEWFIEO00095730AM25","2025-03-24","Renewal of e-RCMC","14",NULL,"NO.2A, 19TH MAIN ROAD,","AREHALLI MAIN RAOD,AGS LAOUT, UTTARAHALLI HOBLI","BENGALURU","BENGALURU URBAN","KARNATAKA","560061","29AAOFP6537F1ZR","Multi Product Group Category","-","50000000","0","2026-03-31"
"0714024767","LGM ENGINEERING INDIA PRIVATE LIMITED","RCMCRENEWFIEO00067353AM25","2024-11-11","Renewal of e-RCMC","14",NULL,"GROUND FLOOR ALPHA BLOCK","SIGMA SOFT TECH PARK WHITEFIELD MAIN ROAD VARTHUR KODI","BANGALORE","BENGALURU URBAN","KARNATAKA","560066","29AACCL6656L1ZW","Premium Multi Product Group Category","-","69111000","0","2028-03-31"
"0714025283","JAYSHREE INDUSTRIES","RCMCRENEWFIEO00006787AM26","2025-04-04","Renewal of e-RCMC","14",NULL,"NO. 39, 4TH CROSS,","K.S GARDEN, 4TH CROSS,","BANGALORE","BENGALURU URBAN","KARNATAKA","560027","29AAEFJ4165B1ZJ","One Star Export House Category","One Star Export House","630000000","0","2026-03-31"
"0714026611","TRIPATH LOGISTICS PRIVATE LIMITED","RCMCRENEWFIEO00038617AM26","2025-06-09","Renewal of e-RCMC","14",NULL,"HAREKRISHNA TOWER, 1ST FLOOR, BALAJI LAYOUT","5-10, 3RD CROSS, DASARAHALLI  MAIN ROAD","BANGALORE","BENGALURU URBAN","KARNATAKA","560024","29AAFCT1227Q1ZU","Multi Product Group Category","-","50000000","0","2028-03-31"
"0714027502","VIJAYAKRISHNA SPICES PRIVATE LIMITED","RCMCRENEWFIEO00089526AM25","2025-03-16","Renewal of e-RCMC","15",NULL,"SY NO. 474,476 TO 478","LEMOOR VILLAGE, KANDUKUR MANDAL,","RANGAREDDY DISTRICT","RANGAREDDY","TELANGANA","501359","36AAECV8922B1ZD","Three Star Export House Category","Three Star Export House","8872733628","6564923524","2026-03-31"
"0714031755","BIOCON PHARMA LIMITED","RCMCRENEWFIEO00022307AM26","2025-04-29","Renewal of e-RCMC","14",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Three Star Export House Category","Three Star Export House","50000000","0","2026-03-31"
"0714031941","SHRINIVAS SUGANDHALAYA (BNG) LLP","RCMCRENEWFIEO00087486AM24","2024-03-22","Renewal of e-RCMC","14",NULL,"NO.1/9, 8TH CROSS,","MAGADI ROAD CONTACT NO: 917022000102","BANGALORE","BENGALURU URBAN","KARNATAKA","560023","29ACRFS5791H1Z7","Two Star Export house Category","Two Star Export house","438802248","258274277","2027-03-31"
"0714032042","FOOD ORGANICS","RCMCAPPLYFIEO00056658AM26","2025-08-21","Issuance of e-RCMC","14",NULL,"#1065N, 8TH MAIN ROAD, VIJAYA BANK","LAYOUT, BILEKAHALLI BANNERGHATTA,","MAIN ROAD, BANGALORE","BENGALURU URBAN","KARNATAKA","560076","29AJZPK6324P2Z2","Multi Product Group Category","-","0","0","2026-03-31"
"0714032051","FRESH GREEN EXPORTS","RCMCAPPLYFIEO00057594AM24","2023-10-23","Issuance of e-RCMC","14",NULL,"NO 12,3RD FLOOR","NEW CROSS ROAD CHICKKAMAVALLI","BANGALORE, KARNATAKA","BENGALURU URBAN","KARNATAKA","560004","29BEJPD0309B2Z3","Multi Product Group Category","-","1500000","0","2024-03-31"
"0714034096","MUDDY BOOTS VACATIONS INDIA LLP","RCMCRENEWFIEO00036316AM24","2023-06-25","Renewal of e-RCMC","16",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Multi Product Group Category","-","11912372","0","2024-03-31"
"0714035424","MIGHTY OVERSEAS","RCMCAPPLYFIEO00007547AM23","2022-05-05","Issuance of e-RCMC","14",NULL,"NO.16, 30TH MAIN, NEAR SPANDANA HOSPITAL","SAKAMMA LAYOUT NANDINI LAYOUT","BANGALORE","BENGALURU URBAN","KARNATAKA","560096","29AFDPJ6299N1ZL","Premium Multi Product Group Category","-","0","105233623.5","2023-03-31"
"0714036528","SUNLARGE FILAMENTS PRIVATE LIMITED","RCMCRENEWFIEO00096266AM25","2025-03-24","Renewal of e-RCMC","14",NULL,"KIADB INDUSTRIAL AREA, NO. 282, 1/C, BOMMASANDRA-JIGANI LINK","ROAD, JIGANI, BENGALURU, BENGALURU (BANGALORE) URBAN","BANGALORE","BENGALURU URBAN","KARNATAKA","560105","29AAVCS3715Q1ZA","Multi Product Group Category","-","50000000","0","2026-03-31"
"0714037133","ADD ENGINEERING COMPONENTS (INDIA) PRIVATE LIMITED","RCMCRENEWFIEO00034266AM26","2025-05-27","Renewal of e-RCMC","14",NULL,"NO.630, 4TH MAIN ROAD,","NGEF LAYOUT, NAGARBHAVI CONTACT NO: 919845099196","BANGALORE","BENGALURU URBAN","KARNATAKA","560072","29AANCA1821F1ZS","Premium Multi Product Group Category","-","92600000","0","2026-03-31"
"0714900117","RPN GRANITES","RCMCRENEWFIEO00005750AM26","2025-04-03","Renewal of e-RCMC","14",NULL,"BASEMENT FLOOR, SHOP NO.1 - FALAK COMPLEX","22ND CROSS, SECTOR 2 - HSR LAYOUT CONTACT NO: 919538731495","BANGALORE","BENGALURU URBAN","KARNATAKA","560102","29AARFR1973J1ZF","Multi Product Group Category","-","34600000","28800000","2026-03-31"
"0714900222","SEASON INTERNATIONAL EXPORTS","RCMCAPPLYFIEO00070590AM25","2024-12-03","Issuance of e-RCMC","14",NULL,"NO.437 RAMAKRISHNA LAYOUT","NEAR GOVT. MIDDLE SCHOOL CONTACT NO: 919611419605","VARTHUR","BENGALURU URBAN","KARNATAKA","560087","29CBYPD9373G2ZT","Multi Product Group Category","-","0","0","2025-03-31"
"0714900460","RIPPLE TECHNOLOGIES","RCMCAPPLYFIEO00025285AM24","2023-05-25","Issuance of e-RCMC","14",NULL,"PLOT NO.19 2, KEMPAIAH GARDEN","PEENYA 4TH PHASE","BANGALORE","BENGALURU URBAN","KARNATAKA","560058","29AAJFR0193G1Z0","Premium Multi Product Group Category","-","67626126","0","2024-03-31"
"0714900842","PHANTOM HANDS VINTAGE COLLECTIBLES LLP","RCMCRENEWFIEO00015056AM24","2023-04-27","Renewal of e-RCMC","14",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"One Star Export House Category","One Star Export House","184509952","0","2027-03-31"
"0715003097","AMD APPARELS PRIVATE LIMITED","RCMCRENEWFIEO00038710AM25","2024-06-09","Renewal of e-RCMC","14",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Premium Multi Product Group Category","-","0","276863676","2027-03-31"
"0715004352","ICBIO CLINICAL RESEARCH PRIVATE LIMITED","RCMCRENEWFIEO00080030AM25","2025-02-04","Renewal of e-RCMC","14",NULL,"NO 2, SURVEY NO. 8/1/2, ICBIO TOWER, DEVI CIRCLE, CHIKKABETTAHALLI,","VIDYARANYAPURA, BENGALURU, BENGALURU URBAN, KARNATAKA, 560097","BANGALORE","BENGALURU URBAN","KARNATAKA","560097","29AABCI9639M1ZT","Premium Multi Product Group Category","-","10000000","55000000","2026-03-31"
"0715005081","ALTRAN TECHNOLOGIES INDIA PRIVATE LIMITED","RCMCRENEWFIEO00072638AM25","2024-12-17","Renewal of e-RCMC","14",NULL,"2ND FLOOR, VECTOR BLOCK, PRESTIGE TECH PARK-III, SY NO : 110/1,110/2 & 110/3","AMANE BELLANDUR VILLAGE, OUTER RING ROAD, BANGALORE EAST TALUK","BANGALORE","BENGALURU URBAN","KARNATAKA","560103","29AAACA7125R1Z7","Premium Multi Product Group Category","-","5712320000","0","2025-03-31"
"0715005383","ARAFLEX GASKETS AND JOINTINGS PRIVATE LIMITED","RCMCRENEWFIEO00039032AM26","2025-06-11","Renewal of e-RCMC","14",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Multi Product Group Category","-","26000000","0","2026-03-31"
